distance,dropoff_h3,duration,pickup_h3
30274.6,8a2a1008829ffff,1791.4,882a103b39fffff
32573.0,8a2a100ae087fff,1716.7,882a103b39fffff
27432.2,8a2a100d23a7fff,1590.7,882a103b39fffff
29432.7,8a2a10089ae7fff,1628.1,882a103b39fffff
27814.4,8a2a1008d0cffff,1570.5,882a103b39fffff
28383.5,8a2a10089697fff,1639.3,882a103b39fffff
30078.3,8a2a100882f7fff,1769.6,882a103b39fffff
29564.0,8a2a10721baffff,1769.9,882a103b39fffff
29081.6,8a2a1072511ffff,1687.3,882a103b39fffff
27564.6,8a2a100d608ffff,1535.5,882a103b39fffff
31769.8,8a2a100ae2a7fff,1657.3,882a103b39fffff
28312.8,8a2a10089077fff,1649.0,882a103b39fffff
27081.8,8a2a1008d14ffff,1559.4,882a103b39fffff
28750.3,8a2a100ab51ffff,1623.0,882a103b39fffff
27987.2,8a2a100ab717fff,1577.5,882a103b39fffff
29023.0,8a2a10725947fff,1638.2,882a103b39fffff
29219.6,8a2a1008d6c7fff,1676.9,882a103b39fffff
33273.5,8a2a100ae8b7fff,1758.3,882a103b39fffff
27607.3,8a2a1008976ffff,1583.6,882a103b39fffff
24264.5,8a2a1072c017fff,1629.3,882a103b39fffff
35887.4,8a2a100a3b67fff,1911.3,882a103b39fffff
23782.1,8a2a1072cbaffff,1561.9,882a103b39fffff
33823.0,8a2a100a176ffff,1798.4,882a103b39fffff
33640.0,8a2a100aac77fff,1782.0,882a103b39fffff
27814.9,8a2a100d60f7fff,1558.5,882a103b39fffff
26692.3,8a2a100d298ffff,1444.0,882a103b39fffff
26557.5,8a2a100d629ffff,1435.1,882a103b39fffff
32449.7,8a2a100ae7affff,1694.6,882a103b39fffff
31710.5,8a2a100ae387fff,1660.5,882a103b39fffff
28082.4,8a2a100d65b7fff,1620.7,882a103b39fffff
30137.7,8a2a10088987fff,1758.7,882a103b39fffff
23646.6,8a2a100d3617fff,1609.8,882a103b39fffff
28187.2,8a2a1008ca8ffff,1597.1,882a103b39fffff
29400.1,8a2a1008b80ffff,1715.2,882a103b39fffff
34559.5,8a2a100aec1ffff,1823.7,882a103b39fffff
23688.0,8a2a1072c05ffff,1554.5,882a103b39fffff
34110.3,8a2a100aed17fff,1805.7,882a103b39fffff
23708.0,8a2a1072dd1ffff,1565.5,882a103b39fffff
27697.3,8a2a100ab6f7fff,1564.7,882a103b39fffff
27900.2,8a2a100d254ffff,1616.7,882a103b39fffff
32758.4,8a2a100ae807fff,1707.2,882a103b39fffff
26948.4,8a2a1008d12ffff,1495.7,882a103b39fffff
29820.7,8a2a1008d657fff,1666.3,882a103b39fffff
29342.5,8a2a1008992ffff,1622.9,882a103b39fffff
27600.7,8a2a100d67a7fff,1521.9,882a103b39fffff
30045.1,8a2a1008880ffff,1763.5,882a103b39fffff
27956.2,8a2a1008d0effff,1599.7,882a103b39fffff
29307.9,8a2a10089b2ffff,1641.1,882a103b39fffff
23172.8,8a2a1072c32ffff,1485.3,882a103b39fffff
29180.3,8a2a1008c107fff,1667.2,882a103b39fffff
28105.4,8a2a10089057fff,1627.8,882a103b39fffff
28574.8,8a2a1008d5affff,1613.0,882a103b39fffff
26104.1,8a2a100d6a27fff,1471.4,882a103b39fffff
23946.0,8a2a1072dc9ffff,1598.7,882a103b39fffff
26592.1,8a2a100d686ffff,1516.0,882a103b39fffff
24178.0,8a2a1072c2cffff,1582.0,882a103b39fffff
29872.1,8a2a10721a77fff,1813.3,882a103b39fffff
25347.8,8a2a1072cd8ffff,1774.8,882a103b39fffff
33456.5,8a2a100ae8d7fff,1766.6,882a103b39fffff
27492.0,8a2a1008dc0ffff,1552.0,882a103b39fffff
27855.4,8a2a100d6a47fff,1526.4,882a103b39fffff
32370.0,8a2a100ae727fff,1698.4,882a103b39fffff
23276.5,8a2a1072caaffff,1559.2,882a103b39fffff
34346.6,8a2a100a1057fff,1871.6,882a103b39fffff
29581.1,8a2a10089517fff,1739.7,882a103b39fffff
30067.2,8a2a100888affff,1757.0,882a103b39fffff
28378.0,8a2a1008d517fff,1605.9,882a103b39fffff
26679.1,8a2a1008db1ffff,1508.1,882a103b39fffff
28507.3,8a2a1008dae7fff,1631.0,882a103b39fffff
28601.4,8a2a10089037fff,1659.3,882a103b39fffff
28846.1,8a2a107258d7fff,1597.1,882a103b39fffff
25135.9,8a2a1072c817fff,1759.8,882a103b39fffff
23982.1,8a2a1072cb17fff,1600.8,882a103b39fffff
26985.1,8a2a100d4427fff,1542.8,882a103b39fffff
28526.5,8a2a10089087fff,1681.1,882a103b39fffff
28722.1,8a2a10089b27fff,1566.3,882a103b39fffff
29654.6,8a2a1008c74ffff,1730.1,882a103b39fffff
26935.0,8a2a100d6c57fff,1518.4,882a103b39fffff
29124.9,8a2a1008d6f7fff,1670.7,882a103b39fffff
33494.7,8a2a100a1297fff,1776.6,882a103b39fffff
30054.4,8a2a10089c37fff,1666.5,882a103b39fffff
24174.8,8a2a1072dc1ffff,1636.3,882a103b39fffff
27219.3,8a2a100d6d4ffff,1554.6,882a103b39fffff
25183.4,8a2a10728d47fff,1713.0,882a103b39fffff
24394.2,8a2a1072dc2ffff,1648.2,882a103b39fffff
34523.2,8a2a100a145ffff,1820.6,882a103b39fffff
26884.9,8a2a1008db27fff,1595.3,882a103b39fffff
24021.9,8a2a1072d5affff,1607.4,882a103b39fffff
28936.0,8a2a1008986ffff,1603.5,882a103b39fffff
33115.7,8a2a100ae187fff,1763.9,882a103b39fffff
32832.5,8a2a100ae54ffff,1745.9,882a103b39fffff
29369.4,8a2a1008b877fff,1705.6,882a103b39fffff
26941.6,8a2a100d699ffff,1527.0,882a103b39fffff
32646.2,8a2a100ae8dffff,1746.4,882a103b39fffff
23947.1,8a2a1072c847fff,1649.5,882a103b39fffff
27039.9,8a2a100d2c47fff,1498.2,882a103b39fffff
29556.1,8a2a1008c80ffff,1688.0,882a103b39fffff
31967.0,8a2a100ae06ffff,1668.4,882a103b39fffff
24330.3,8a2a1072c727fff,1645.0,882a103b39fffff
29047.9,8a2a10089857fff,1615.7,882a103b39fffff
29095.8,8a2a107250c7fff,1671.0,882a103b39fffff
23205.7,8a2a1072c34ffff,1498.1,882a103b39fffff
27966.2,8a2a100d2297fff,1647.1,882a103b39fffff
29465.4,8a2a10088b07fff,1703.0,882a103b39fffff
25095.7,8a2a1072ccaffff,1737.7,882a103b39fffff
27065.3,8a2a100d2117fff,1503.1,882a103b39fffff
29746.4,8a2a1008c91ffff,1689.4,882a103b39fffff
28451.1,8a2a10725387fff,1588.3,882a103b39fffff
27808.8,8a2a1008920ffff,1625.9,882a103b39fffff
27739.3,8a2a100d6d8ffff,1581.3,882a103b39fffff
28143.1,8a2a100d65a7fff,1639.3,882a103b39fffff
27732.1,8a2a1008d067fff,1568.3,882a103b39fffff
